u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u'In order to get a full scope of what Sasha has to offer, you need to pop in to 24 Carrots at least 3 or 4 times because there are so many amazing things to try, you cannot get it all in a visit!'	'Salted caramel latte - amazing!!\n'
u'In order to get a full scope of what Sasha has to offer, you need to pop in to 24 Carrots at least 3 or 4 times because there are so many amazing things to try, you cannot get it all in a visit!'	'Soy coconut latte ftw!!!!\n'
u"I don't mind.Actually not bad of a place, as it is with most thrift store, the variety and the availability is really changing."	'A quick yummy noodle soup for 10$? Yes please!\n'
u'I love the food at this place specially the wonton soup.'	'Their portions are huge. Ask the waiter before ordering\n'
u'Good quality products are used, the facilities are clean, and they have nice touches such as soft towels.'	'Delish! Really good value too. Would be back for more!!\n'
u"It wasn't cold and it was warm and soggy, it had a good texture but I personally did not see what all the rave was about."	'Only go during lunch. I went at 5pm and veal was cold and chewy, leftovers from lunch.\n'
u'They were pretty good.'	'Nice enough Courtyard (and similar to the other Courtyards out there) but an odd location inside a shopping plaza (though I believe the Courtyard near me in Marina Del Rey is also located in a shopping plaza).\n'
u'Kind of like everything thrown into one big store.'	'Chocolate overload Kind of slow service\n'
u'Mad Mex offers Great vegetarian & vegan options!'	'Awesome atmosphere, very nice service. I was very pleased!\n'
u"I've been to quite a few Brazilian steakhouses and the quality of meat here is one of the highest I've had."	'Great place to grab a drink before the game or watch the game! Right across from PNC park!\n'
u"I've been to quite a few Brazilian steakhouses and the quality of meat here is one of the highest I've had."	'They need fans or a/c in here desperately!\n'
u'Definitely a fan of this place.'	'Just go here!\n'
u'It was so good.'	"Padrino is where it's at.\n"
u'Amazing beer selection, cool atmosphere and did I mention beer?'	"Milkshakin' then hooping. Boom\n"
u'The bread was great as well.'	'Awesome milkshakes!!\n'
u'The bread was great as well.'	'Best strawberry milkshake in Charlotte\n'
u'Unbelievable food and even better service.'	'Greatest place in scottsdale\n'
u'Great live music and atmosphere.'	'Food is good, but service is always really slow.\n'
u"It was packed and tons of fun, we were lucky all of us got to sit/grab a couch table outside and that was real fun and we could see all kinds of crazy stuff going on viewing the hilarious people sitting at the bar...There's a lot of funny customers here.I had the best time at El Hefe, it seemed like they were giving out shots of Tequila everytime something was going on during sports game and they were so many fun random people to talk to."	'Bar food not too good, wine nice\n'
u'So Indie its going to make me drive to Tempe lol Love the vibe here.'	'Popsicle wings are so good mix and dip those sauces\n'
u'In my opinion you should be cleaning it after every roll that is cut.'	'8 pm- empty trays- 4 employees- wet floors- UNACCEPTABLE!!\n'
u'Never again will i spend a dime in this place.. food was cold, manager was immature, manager took a drink from my wife while she was drinking and said leave the resturant.'	'Cockroachs anyone? Enough said......\n'
u"I'm glad the opened this location in LA County, I can't wait for one to open in the OC (fingers crossed)."	"Smoke free, close to the strip, and amazing suites. You can't go wrong.\n"
u'They were nice, by the way.'	'Spiced chai latte is my favorite. WiFi was spotty tonight.\n'
u'It was all that and more.'	'Super tall sanitation glass makes 5\'0" gals have to scream to be heard. Sorry for disturbing the quiet lobby area!\n'
u'The activities for the kids are great.'	'Needed a attitude improvement!! Lol!\n'
u"I just think they need to advertise a little more for a happy hour crowd, and offer up better specials as well.It's a MARTINI Bar.. My favorite drink is the Oatmeal Cookie..."	'Networking\n'
u'They also have delicious hot wings!'	'Mix and match flavors-the bartenders are great!\n'
u"And then you think of that breakfast place you went to for hangover brunch, and you're like, no i want cheap food... so you keep on thinking until you lose interest and that hankering goes away which is kinda good if you're on a diet but heck it's breakfast food so it's good for you even when you have brinner!"	'late lunch with michelle.\n'
u'I also suggest getting a pint or quart to go.'	"StepNPull in the women's bathroom? Genius.\n"
u'Friendly and attentive service, high quality food and great menu secections make this place a winner.'	"The review by Teresa S is not legitimate. It's her only review and she has on her friend list Erik K who is the owner of the Academy of Sound, a tenant in the building who is currently fighting eviction from the landlord. This review was most likely posted by Teresa in revenge. Shame on her...\n"
u'This was not on the menu but we saw lots of these coming out of the kitchen and we just had to order it.'	'Hip place for brunch! Mimosa sil vous plais!\n'
u'THAT is a Bobby-Dazzler of a restaurant.A great, family-run place in O-town.'	'Great soundtrack to your breakfast\n'
u"The pork and gravy covered fries were very much lacking, they aren't crispy and they were cold, the flavor was a bit off as well."	'Great food. Awesome pulled pork/fries. Great beer. Definitely a hidden gem!\n'
u'Delicious food and great beers.'	"You can't beat the beer flights for value.\n"
u'Delicious food and great beers.'	'Great beer and food. Our waitress was great! We will be back!\n'
u"I'm not a beer drinker but I sipped a few and they were flavorful."	'Good food and good service. Nice variety of beer sandwiches, appetizers and more.\n'
u'The food and beer is unrivaled.'	'Go for the burger, grab a beer and relax!\n'
u'The food and beer is unrivaled.'	"Nothing to offer up, other than I've always enjoyed the beer and the food!\n"
u'Friendly knowledgeable and great prices my new spot for sure.'	'Finally some professional and courteous TSA employees at the Phoenix airport.\n'
u"The thing I like most is that they take walk-ins and it's very close to my office so I could have my pedicure done during my lunch break."	'Very convenient location at 215 & Tropicana exit.\n'
u"I came in for a oil change and was told there was coolant where it shouldn't be and was given some reasons of what it could be but the one that really pissed me off was a cracked engine block which is pretty much putting a car in the grave yard to me as a motor is in the upwards of 3,000 and another 1,000 to install ."	'Turn music off !! Lower prices for average food ! Get a clue\n'
u'Super fresh udon!!'	'My once per week lunch spot. Clean, fast, & new. Good service & food portions.\n'
u'The only reason why I am why I am not giving Mel\'s a 5 star rating, is because they serve Pepsi instead of Coca-Cola.Do not come here if you are only "a little hungry".'	'The escargot is to die for.\n'
u'Oooooohhhh!'	'Awesome !\n'
u"Sometimes it is wolfed down because it's that good."	'Romantic date, surething great meal, or show off for tourists - this is the place.\n'
u"But they make it too and it's just so good!"	'You can call and preorder so they will set it aside for you. Also they have great imported super marbled Japanese beef. Priced well too!\n'
u"I'm still a happy guy that they chose to replace the yucky Quizno's that used to be there with Which Wich!Bumping Which Wich up to 4 stars as they seem to have overcome their early operational hurdles and, as the team has trained, the sandwiches seem to come out much more quickly when they are busy than back in the summer when they opened in Birkdale Village."	"Tomato bisque today is hot, creamy tomato'y deliciousness\n"
u"THIS IS PRETTY AWESOME to me ONLY because it has been several times that me and the ladies have gone out and we all have to go equally as bad and with this set up we can go at the same time.. NOT SURE I'D WANT TO only because that's awkward squatting next to your friend."	'Hummus Wrap with Asparagus ..\n'
u"THIS IS PRETTY AWESOME to me ONLY because it has been several times that me and the ladies have gone out and we all have to go equally as bad and with this set up we can go at the same time.. NOT SURE I'D WANT TO only because that's awkward squatting next to your friend."	'Hummus Wrap with slaw & fresh fruit.. This taste soooo DEVINE!!!\n'
u"THIS IS PRETTY AWESOME to me ONLY because it has been several times that me and the ladies have gone out and we all have to go equally as bad and with this set up we can go at the same time.. NOT SURE I'D WANT TO only because that's awkward squatting next to your friend."	'Patio Palette Wine Flight to SHARE (Less Calories)\n'
u"Okay, they also have baked chicken - I've had it; it's good too!"	'One of the best bars in uptown Charlotte!!\n'
u"This isn't a fancy-schmancy place."	'Complementary valet parking for the win!!\n'
u"The vibe inside of Mr. Mama's is a great one."	'Stoked to finally see this place!!!\n'
u"Things that Make you Go Hmmmm... We really weren't planning to go to this show but we snagged some heavily discounted tickets through Half off Tix (they have kiosks all along the strip)."	'Fantastic Happy Hour deal! Dine at the bar from 12-6p Mon-Sat for discounted food and drink menu\n'
u'This is a review for Doohans.'	"Meats are good. Do not get the seafood. Staff is terrible, slow, and unfriendly. There's alot better Brazilian steakhouses in Vegas.\n"
u'After seeing the state of the bathrooms I probably would not eat here, if that is the same bathroom the employees use as well.'	'Closed\n'
u'After seeing the state of the bathrooms I probably would not eat here, if that is the same bathroom the employees use as well.'	'Closed\n'
u'Soups and foods are typically very good...French Onion soup and buffalo chicken soup are both very good, beef melt is good, white pizza excellent, burgers good, fish good...been coming here for years, have never really been served a bad meal at the carriage Update 12/17/16 Sadly Carriage now has a $.65 upcharge for ranch with your fries and the added $1.75 charge for fries or chips seems a bit high for the small portionsSoups and foods are typically very good...French Onion soup and buffalo chicken soup are both very good, beef melt is good, white pizza excellent, burgers good, fish good...been coming here for years, have never really been served a bad meal at the carriage Update 12/17/16 Sadly Carriage now has a $.65 upcharge for ranch with your fries and the added $1.75 charge for fries or chips seems a bit high for the small portionsSoups and foods are typically very good...French Onion soup and buffalo chicken soup are both very good, beef melt is good, white pizza excellent, burgers good, fish good...been coming here for years, have never really been served a bad meal at the carriage Update 12/17/16 Sadly Carriage now has a $.65 upcharge for ranch with your fries and the added $1.75 charge for fries or chips seems a bit high for the small portionsBrisket sandwich not bad but ask for extra napkins it was quite messy and if you like the taste of bbq ask for extra sauce on the side...burger a little over cooked...nice restaurant was very clean both in the bar as well as restaurant areas...no need to wear a sweater here though, the fire pit is a good name...if you are a middle aged woman wear short sleeves, it was a bit toasty.'	'Always have something new on the inter menu, love trying new things here :)\n'
u'Soups and foods are typically very good...French Onion soup and buffalo chicken soup are both very good, beef melt is good, white pizza excellent, burgers good, fish good...been coming here for years, have never really been served a bad meal at the carriage Update 12/17/16 Sadly Carriage now has a $.65 upcharge for ranch with your fries and the added $1.75 charge for fries or chips seems a bit high for the small portionsSoups and foods are typically very good...French Onion soup and buffalo chicken soup are both very good, beef melt is good, white pizza excellent, burgers good, fish good...been coming here for years, have never really been served a bad meal at the carriage Update 12/17/16 Sadly Carriage now has a $.65 upcharge for ranch with your fries and the added $1.75 charge for fries or chips seems a bit high for the small portionsSoups and foods are typically very good...French Onion soup and buffalo chicken soup are both very good, beef melt is good, white pizza excellent, burgers good, fish good...been coming here for years, have never really been served a bad meal at the carriage Update 12/17/16 Sadly Carriage now has a $.65 upcharge for ranch with your fries and the added $1.75 charge for fries or chips seems a bit high for the small portionsBrisket sandwich not bad but ask for extra napkins it was quite messy and if you like the taste of bbq ask for extra sauce on the side...burger a little over cooked...nice restaurant was very clean both in the bar as well as restaurant areas...no need to wear a sweater here though, the fire pit is a good name...if you are a middle aged woman wear short sleeves, it was a bit toasty.'	'Nice happy hour m-f 5-7pm and th-fr 10pm-12am\n'
u'If you are willing to travel, I heard Pho Kim Long on Spring Mountain Road is the best Pho joint in Vegas and a lot cheaper.'	'Watch the ufc fight\n'
u"I am a fatty :) While it may not compare to the dim sum restaurants that go by the name of Orchid Garden or Chang's but it does hold its own.To be honest, the only reason this place is getting four stars is because Yelp says that I am a fan... which I am since I really do not know where else to go to pick up office/school supplies other then Office Max (to far down the street) or Walmart (Which I avoid like the plague at all hours of the day or night unless I am feeling adventourous) Anyway, I have been going to this store for years and they have served me well with just about everything I need."	'Happy hour until 1900\n'
u"Thank the heavens I don't live in this part of town.Stopped in on a weekday afternoon for a shake and was not impressed."	'After lunch is a very mellow time to visit.\n'
u'We got philly cheese steaks from a short walk down the street at Straight From Philly and brought them back and ate them on the patio while enjoying a flight of beer.'	"Try Tuesday's and Thursday's wing specials.\n"
u'come to this park all the time with my daughter and by myself for a quick hike.'	"Tuesday's and Thursday's have wing specials!\n"
u'We were not happy about this since back in the day Good Sam would not insure a young driver.'	'They redecorated...... Need a few more visits to adjust to the different seating. Better walking room in-between tables\n'
u"As for taking double cut off the options, sure I can still ask for it at the store, but why can't I just click the box and make it clear what it is that I want?"	'Double check your order even if the manager checks it. I got home, no kids Mac and cheese. Go tell a 3 year old you messed up his order. It sucks.\n'
u'Steak was okay.. Fries - 2 stars.'	'Dinner before Le reve\n'
u'If you choose one of the cream-filled donuts/buns you will find that they are packed with cream and very sweet!'	'For the check in offer, you get one fish taco per Yelp account, not one fish taco for each person on the table.\n'
u'$30 for 6.Eclairs!'	'cute waitresses\n'
u"It's bomb.com!"	"Get a side of Sriracha with any of the quinoa bowls. You won't regret it.\n"
u'They serve it in a French press, but the small one I ordered turned out to give me half a cup of coffee.'	'Great food/drinks, authentic and extensive!\n'
u'I was really pleased with the service here and the quality of the coffee.'	"For some reason I can't get past this spot on the strip. They always have a smile for ya and a great happy hour.\n"
u'I was really pleased with the service here and the quality of the coffee.'	'Irish goodness...\n'
u'They serve it in a French press, but the small one I ordered turned out to give me half a cup of coffee.'	'Irish pub, hoorah!\n'
u'The service was amazing but the quality of food was not what I thought it would be.'	"The Ri Ra sounded like an interesting place when I saw it online. In reality it wasn't as interesting as it sounded.\n"
u'They serve it in a French press, but the small one I ordered turned out to give me half a cup of coffee.'	'Love the live music!\n'
u'Lori was awesome and so fast!'	'Great service Maren! You were great! And as usual, the food was impeccable.\n'
u'Lori was awesome and so fast!'	'Top to bottom scrumptious!\n'
u'Found this place on Yelp and was pleasantly surprised to find high grade sushi, large portions, creative dishes from sushi chef Yeung, very pleasant service and great wine selection!'	'Perfect foodie adventure! Make reservations!\n'
u'They cook the beef in house, so they can make it as rare as they want and this was fabulous.'	'They do free "Eggciting" breakfast for your birthday!\n'
u'Very reasonably priced too and very helpful and friendly staff!'	'Matzo ball soup!!!!!\n'
u'order a claypot from the menu it come out different they substitute my chicken to pork spare ribs without telling me'	'good quality meat and noodles, almost more than double the price you can get at chinese restaurant\n'
u'This was the best tasting I have had in Phoenix.'	'Two days in a row\n'
u'Total inconvenience!Not my type of shopping store but it was located across from the Disney store and if you have kids and your at this mall, you will be at the Disney store, so moms, leave the kids with dad and walk into this store for some serenity-especially if you have grandma with you she will find something for sure in here.'	'Christmas prefix menu!\n'
u'"Is this it?"'	'B**** wrong queues ;-)\n'
u'"Is this it?"'	'Lots of people. Hard to find a space to sit down\n'
u'"Is this it?"'	'Very good play that went wrong.laughed all way thru. Ian D Montford now\n'
u'worst tropical smoothie in vegas.'	'Security at Elevators.\n'
u'I am taking a knitting course with the owner.'	"Went back to McKoy's tonight. This is their third week open. They had festival and plaintain for sale. The festival is the best I have ever had. You have to try it.\n"
u'And that is not the only reason to come to H-J!'	'What a great find this place was! I had the salad with chicken....great! All of plates I saw being served were huge amounts of food, and I didn\'t see many "doggy bags"!!!! It really was that good!\n'
u'Delicious, Persian food (very similar to Mediterranean) served like a work of art, with pita-style bread made to order and served gratis to every table.'	"Best taboule I've had this side of Beirut!\n"
u'The store is clean and you get in and out fast.'	"Don't miss the saffron ice cream\n"
u'Love the jerk chicken and oxtails Curry chicken is really good too.'	'Check for a groupon\n'
u'Nice clean simple eating area inside or you can get it to go.'	'Great flavors and service. Healthy Good.\n'
u'Nice clean simple eating area inside or you can get it to go.'	'They no longer make the pita bread in house like they used to and the menu has changed slightly. Still very tasty!\n'
u'My bf had the carne asada tacos & await it was very good.'	'Try the eggplant starter! My fav!\n'
u'It took about 2 years of weekly patronage for one of the servers to greet us whenever we came through the door, but service/hospitality aside, we really like this place.'	'hummus ftw\n'
u'Was very excited for some Cuban food.'	'Groupon!\n'
u'Really great start!I have been waiting for Coconuts Fish Cafe to finally open here in Scottsdale.'	'#19 beef & chicken half rice and half salad. Win!\n'
u'Really great start!I have been waiting for Coconuts Fish Cafe to finally open here in Scottsdale.'	"Thursday's special is fantastic! Baghali Poli.\n"
u'I used to take my son to Cool Cuts for Kids for his haircuts but at $21+ a pop, it was getting a bit pricey...especially for a quick cut on a male toddler who already had short hair.'	'Family owned and friendly.\n'
u'Best "fancy " happy hour yet!'	"This was my 1st time and Ashli explained everything: about the wear and care ! I feel great! Can't wait for my follow up:)\n"
u"En retour vous avez un entra\xeeneur avec vous tout le temps pour vous guider et vous vous retrouverez avec un corps de dieux ou de d\xe9esse en un rien de temps!Juste avant un souper entre ami, j'avais envie de passer une heure ou deux avec mon amoureux avec un bon verre de vin ou bien un cocktail."	"Pas besoin de r\xc3\xa9servation pour profiter du circuit d'eau. Tarif \xc3\xa0 rabais pour une visite de moins de 3 heures.\n"
u'The beef was a bit dry and after eating the pork taco the beef just did not cut it for me.'	'Multiple lines for easy confusion.\n'
u"I can tell you right now, that it's the most authentic Mexican food I've EVER had and it's the BEST Mexican food that I've ever tasted."	'The best. No joke. Adobada all day.long\n'
u"I can tell you right now, that it's the most authentic Mexican food I've EVER had and it's the BEST Mexican food that I've ever tasted."	'Delicious tacos period. Best tacos we had in Vegas (Carne Asada, Adobada).\n'
u"I can tell you right now, that it's the most authentic Mexican food I've EVER had and it's the BEST Mexican food that I've ever tasted."	'Perfect food after drinking & clubbing!\n'
u"I can tell you right now, that it's the most authentic Mexican food I've EVER had and it's the BEST Mexican food that I've ever tasted."	'Make sure to TIP your cook!\n'
u"I can tell you right now, that it's the most authentic Mexican food I've EVER had and it's the BEST Mexican food that I've ever tasted."	'Sad to find out Vegas strip location has closed! :(\n'
u"I have to resist myself from coming here all the time...it would be dangerous cause what I love the most are their chocolate cupcakes.I'm surprised that I have not written a review for this place yet considering how much I adore it and how many times I've been here."	'Same great pinkberry taste that you would get at any other pinkberry!\n'
u"Good informal sports bar atmosphere but not too dark if it's a business lunch."	"My first Pinkberry experience. Pretty good FY but priced accordingly. What, no chocolate? That's ok try the original flavor.\n"
u'Great service.'	'Professional services and friendly staff. I love my new haircut. Thanks Mohawk crew!\n'
u"Seems to be a hit and I'll go in knowing that they only have a small selection of flavors at a time.Oh man it was a very hot day when we came here."	'They Close at 6pm on Sundays\n'
u'It was all that and more.'	"Don't forget to take advantage of the Yelp check-in offer!\n"
u'It was all that and more.'	'Our waiter gave an insider tip: The Facebook Cajun Sampler check-in offer has a bigger portion! Expires on Labor Day!\n'
u'There are a lot of different add-ons you can put in the soup, and I was happy to see that they had tea eggs on the menu!'	'In the AZ International Marketplace shopping plaza\n'
u'Cannot say anything negative, when I have been treated so nice all of the times I\'ve been there!After "hearing" everybody here on Yelp rave about this place, me and my hubby had to schedule a date night, and have a our friend babysit for us, so we could enjoy some bruschetta.'	"Doctor's visit. The best pediatrician a in town (Dr. Gonzalez & Dr. Collins)\n"
u"It was nice, you could taste the cherry cola and the alcohol - don't ask me what was in there as i can't remember I'll be back to try the food and a few more of these damn tasty cocktails!I love the tea here and the scones are yummy too."	"I do like it. It's diverse range of stalls and you can pick some lunch too. It does get crowded though - be warned!!\n"
u"It's a t-shirt....???"	'Great little place to pick up dinner party goodies, produce, snacks and a light Sunday lunch. Well worth popping through!\n'
u"I couldn't think of a better place to get my wine and cheese fix on a Sunday afternoon.I'm pretty thrilled my my experience of getting food from Food Village."	'Happy 5th birthday Stockbridge Market!\n'
u'Pricey, the cooking area is kinda clean.'	"Don't risk your life going here. Not a real hospital.\n"
u'Clearly there is an issue if we have been to lunch for nearly an hour and still do not have lunch.'	'Do your taste buds a favor and drive a mile North to Chipolte. This place has poor flavors, tasteless guacamole (garlic & salt anyone?) and salsa from a jar. No bueno mijos.\n'
u'This place is worth it!'	'Beautiful interior & chic rooms!\n'
u"I was looking for a place with free wi fi and went to Tea Station yesterday but the wi fi wasn't working."	"My favorite hotel in Vegas...best rooms and service! Call the concierge and they'll add you to the guest list for any club!\n"
u"The last few times we've been here the food has been hit or miss."	'This is one of their newest locations. Nice restaurant but very loud.\n'
u'Hip indoor-outdoor bar/restaurant in downtown with loads of seating, 31 beers on tap and a good food menu.'	'Happy Hour is until 7pm Mon-Fri...get the tableside Guac and Chips for $6\n'
u'What an on going night mare constantly not keeping their dead lines , now wanting to charge more for work already started,zero communication ,dishonest .and Not even finishing work started .'	'YUCK\n'
u'Now on the gaming side they have old school arcade machines all along the left wall and they also have their version of bottle service, which includes a couch for you to sit on and a personal television for your group to pick and play games from a list of retro games they have available.'	'Old Town Brown, do it\n'
u'Conclusion: This is not a place I will be craving anytime soon, but I am willing to eat there again if I am in the neighborhood.I went to this place for the endless pasta bowl and found out they do not have it anymore (I should mention they did it for us as a courtesy after I mentioned that was the reason for my visit).'	'Good food, great drinks\n'
u'It was good.'	'Good micro beer and food!\n'
u'Or for the finale, pancakes that hang off all edges of your plate?'	'Favorite place in the world: Deep dish pizza, wings, and brewed rootbeer. Old Town Brown is the best pick of the beers\n'
u'Or for the finale, pancakes that hang off all edges of your plate?'	'In house made root beer and wings are the perfect late night grub\n'
u'Or for the finale, pancakes that hang off all edges of your plate?'	'My favorite place in ALL of Las Vegas\n'
u"It's not the best I've had, but it'll do for when you have a craving for boba on this side of town."	'Happy Hour moved to 3-6; no more late night happy hour either.\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Come between 4-7 for great happy hour specials 7 days a week.\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Enjoying a much needed pitcher after getting killed on college basketball all day. :/\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Great night to enjoy the beer garden and we have it all to ourselves. Come join me!\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Happy hour 3-6. Best HH in town!\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Happy hour till 7. Beer, chicken fingers and garlic knots =$15. Um yeah, hella good deal.\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Perfect night for the patio. Enjoy it before it gets "Vegas Hot."\n'
u'And did I mention that there is no smoking, even in the bar?The service at the bar was great.'	'Seriously windy out here. Smart people might move inside.\n'
u'And this time it was pretty good, except for the first order of sushi roll we were served (the rice tasted like it was old from last night).'	'Close Mondays :(\n'
u'We ordered the Ringo and Primavera.'	'Curry was so good. I could just drink the broth and be happy!\n'
u'Wings arent good, turkey club is turkeyless.'	'No flavor at all. Chaisu pork is very thinly sliced. But no flavor again.\n'
u'You squeeze lemon on it and eat with rice and its a good night... Well- the karaoke started and I just about threw up my food..not from the food itself but more of the shrieking and how loud and bad some of the singers are...geez...thank god karaoke was ending at 11pm that night..there was not going to be enough shots for me to be able to deal with that all night long...I mean, it was funny laughing at some of these people but some were up there like they were all auditioning for American Idol!'	"Get the double noodle tsukemen..trust me you won't have enough noodles to slurp up the soup on a regular order!\n"
u'You squeeze lemon on it and eat with rice and its a good night... Well- the karaoke started and I just about threw up my food..not from the food itself but more of the shrieking and how loud and bad some of the singers are...geez...thank god karaoke was ending at 11pm that night..there was not going to be enough shots for me to be able to deal with that all night long...I mean, it was funny laughing at some of these people but some were up there like they were all auditioning for American Idol!'	"It's getting colder which means perfect ramen weather!\n"
u"I can't wait to have my parents and brother try this place too."	'Spicy bean sprouts and the chili oil on the table can add that nice heat to your ramen. Perfect all year long.\n'
u"I've always been well pleased with this establishment.Awesome place!"	'The staff is very attentive. You won\'t go wrong with any of the entrees.The entrance (and exit) is the back door...trafficking through the kitchen like a herd of cattle...poor kitchen staff. They always stop and knowledge the "outsiders". Once you\'re done entertaining them, you walk immediately into the dining hall (to the hostess station) and be on display for those already seated until your reservation is found. This setup is definitely a little different from most restaurants.\n'
u'Love this place!'	'Chicken Marsala was awesome. Entire meal and experience was exquisite!\n'
u'This place is a wreck.'	'Waaaaaaaaay overpriced! Even by Vegas standards. Very mediocre.\n'
u'Crepes are great too!'	'Love the hand stretched noodles!!! Sooo good!!!\n'
u'They offer different sizes of crabs, and on other days, the prices per dozen can be expensive - especially if you can eat a lot.'	'Located in the newly renovated food court at Caesars Palace. Their Caesar salad is better than the one at Earl of Sandwich (also in the food court). Present your Total Rewards card to save $1 off each menu item.\n'
u"As great as Gasparro's is, they cannot salvage your reputation with the hot vegan if they happen to run into you on your way back home as you will invariably be carrying a carload of carrion."	'Mmmm....chicken wraps\n'
u"As great as Gasparro's is, they cannot salvage your reputation with the hot vegan if they happen to run into you on your way back home as you will invariably be carrying a carload of carrion."	'WINGS! Truly splendid meaty wings + suicide sauce.....get some as you watch the Ravens go D @ W N\n'
u'I definitely recommend itJust had this delivered nicest man came to deliver.'	'Just good food\n'
u"It wasn't the best i've ever had, but it was still very good!"	'Happy Hour 3pm-6pm and 12am-2am: Awesome deals! Half off the $6 food menu and $2.25 well drinks\n'
u"It wasn't the best i've ever had, but it was still very good!"	"I know you came here for the-best-bar-burger-of-your-life, but, I also need to strongly urge you to add an order of Margarita Drenched Chicken Fajita Quesadillas w/ pico, sour cream $8 PRO TIP: Add a side of Bruce's signature sauces: raspberry sauce, pineapple lime, guava habanero, white noise ghost chili, coconut colada pearl. (my personal favorite is the guava habanero) try them all and decide what's your winning combo! Dip the juicy flavorful quesadilla into the sauce & enter food ecstasy!\n"
u'Price is right and the food is good and people are great.Another great night with Mitch and Ciara.'	'jalapeno fries are great\n'
u'In and out and always great advice!Fastest best place in town!'	'Awesome time here!!! Super chill super friendly. Thank you! Go there!\n'
u"It's in an airport so just expect to overpay and don't complain about prices."	'Has had good food in past but looks like some changes made. Will let you know.\n'
u'The place is small, but has a family like feel.'	'A beer, Brucie Burger, and fries for $5.99!\n'
u'The place is small, but has a family like feel.'	'Sign up for the Players Club.\n'
u"We all sat around a huge table and were enjoying a few rounds of Jenga when I look up to see what the hold up is with our orders, it was chaos.Two servers trying to get the orders out and through the glass window, the man who I think created the Ice Monster Cafe standing behind the scenes watching his workers take the fall, and seemingly more interested to get back to the FIFA World Cup, but he couldn't return knowing that we were right next to him and didn't receive half of our orders yet!"	'Everything seems to have gone up a dollar more...out of his signature sauces...not a good first impression\n'
u"The meat was succulent and delicious, the guacamole was some of the best I've tasted and there wasn't anything skimpy about any of the condiments on the plate."	"Don't come with a big group, the seating is extremely limited.\n"
u"Some of the best Thai I've ever had and certainly the best I've had in Phoenix."	'Looks are deceiving and the food is amazing and fairly priced! 4 dishes $28\n'
u"They're a few more bucks than a Filiberto's, but they take your order at the table and the food is served on a plate, good quality ingredients and plenty of it."	'Five damn stars.\n'
u'I have only been here for the wine and music but I love this place.'	'Park at Hearst Tower and the salon will validate your parking!!\n'
u'This is a great little place to get what you want for who you need to do........so-to-speak.So after another start of another bootcamp my shoulders just said "heck no" at work later that day...so I got online and looked through Yelp to help me find a place to unwind these muscles of mine.'	'Free beer!\n'
u'This is a great little place to get what you want for who you need to do........so-to-speak.So after another start of another bootcamp my shoulders just said "heck no" at work later that day...so I got online and looked through Yelp to help me find a place to unwind these muscles of mine.'	'High end cut\n'
u'This is a great little place to get what you want for who you need to do........so-to-speak.So after another start of another bootcamp my shoulders just said "heck no" at work later that day...so I got online and looked through Yelp to help me find a place to unwind these muscles of mine.'	'I heart nikki...great cut and advice\n'
u'This is a great little place to get what you want for who you need to do........so-to-speak.So after another start of another bootcamp my shoulders just said "heck no" at work later that day...so I got online and looked through Yelp to help me find a place to unwind these muscles of mine.'	'They sell product too\n'
u'Plus there wings are pretty good and they are half off during happy hour too.'	'Olga is awesome!\n'
u"I know most people don't usually think of Friday's as a place where you can get a good steak, but I do."	'The service here is simply unmatched!\n'
u'The caprese was good but I would have really loved a veggie burger with my fries.'	'Best Gardenburger in town!\n'
u'The caprese was good but I would have really loved a veggie burger with my fries.'	'I love their gardenburger but 5 out of the last 5 times they have messed up my order. GET IT TOGETHER!!!\n'
u'The caprese was good but I would have really loved a veggie burger with my fries.'	'This is an LA style drive thru burger joint in LV. Vegas needs more of these/\n'
u'He ended up giving me a refund and asked if I\'d come back to try them again and I responded that "I will not be back, but I hope that you enjoy that cash tip I left in the jar after we placed our order" and he responded "yes, I will thanks" and I just kind of shook my head and walked out.'	'Pastrami sandwich is good!\n'
u'He ended up giving me a refund and asked if I\'d come back to try them again and I responded that "I will not be back, but I hope that you enjoy that cash tip I left in the jar after we placed our order" and he responded "yes, I will thanks" and I just kind of shook my head and walked out.'	"The food here has been going downhill the pastrami tastes terrible compared to when they first opened. Quality just isn't the same and the last 2 times I have had items missing from my order when using the drive-thru. After seeing 2 employees unwillingly help a handicapped person and scrunch their nose at her service dog, I won't be back.\n"
u'He ended up giving me a refund and asked if I\'d come back to try them again and I responded that "I will not be back, but I hope that you enjoy that cash tip I left in the jar after we placed our order" and he responded "yes, I will thanks" and I just kind of shook my head and walked out.'	'The onion rings are REALLY good!\n'
u'I will continue to keep coming here.I have been different SuperCuts locations but this one is my favorite.'	'The food is so good.\n'
u'My favorite Thai food in Las Vegas, the food is fresh and the flavors are explosive.'	'LA style burgers, pastrami, chili cheese fries, etc\n'
